NO,Plant Name(SC),Planr Name(Common),Plant Name(Pet),Plant Link,Plant Size
1,Sempervivum Tectorum,Red tip,Red Tip,,"(1.5""-2"")"
2,Bergeranthus,Yellow Flower,,,"(2""-3"")"
3,Sedum Lineare(yellow),Yellow sedum,,,"(2""-3"")"
4,Haworthia cymbiformis,Stone,,https://en.wikipedia.org/wiki/Haworthia_cymbiformis,"(1.5""-2.5"")"
5,Chamaecerus Silvestii,Peanut Cactus,,,"(2""-3"")"
6,Sempervivum,Lakshmi Kamal,Lakshmi Kamal,,"(2""-3"")"
7,Echeveria peacockii,White Lotus,White Lotus,,"(2""-3"")"
8,Jade Plant/ Crassula Portulacea,Jade miniature,,,"(2""-3"")"
9,Senecio Radicans,String of necklace,String of necklace,,"(3""-4"")"
10,Zebrina Huernia ,Chocolate,lifesaver cactus,,"(2""-3"")"
11,Hoodia,Jack fruit,,,"(2""-3"")"
12,Callisia,Lavender,pink lady,,"(2""-3"")"
13,Crassula ovatha,Finger Jade,Finger Jade,,"(2""-3"")"
14,Echeveria Setosa,Diamond,,,"(2""-3"")"
15,Echeveria ,Echeveria ,rose cactus,,"(2""-3"")"
16,Sedum Morganianum,Monkey Tail,Burro's Tail,,"(2""-3"")"
17,Haworthiopsis Reinwardtii,Height Haworthia,Haworthia tall,,"(2""-3"")"
18,Sinocrassula yunnanensis,Chinese Jade,Chinese jade,,"(1.5""-2.5"")"
19,Malephoracrocea,Oval,,,"(2""-3"")"
20,Opuntia Red ,Opentia Red,Bunny Ear Cactus,,"(2""-3"")"
21,Opuntia yellow,Opentia Yellow,Bunny Ear Cactus,,"(2""-3"")"
22,Graptopetalum Amethystinum,Moonstone,Moonstone,,"(2""-3"")"
23,Echeveria Setosa,Velvet,,,"(2""-3"")"
24,Opuntia Monacantha,Tree Cactus,,,"(2""-3"")"
25,Kalanchoe Tomentosa (Chocolate Soldier),Rabbit ears,,,"(2""-3"")"
26,Echeveria Gilwa,Black Prince,Black Prince,,"(2""-3"")"
27,Echeveria Akmalia,Bramha Prabhu,,,"(2""-3"")"
28,Echeveria elegans,Blue Echeviria,,,"(2""-3"")"
29,Aloe juvenna,Tiger Tooth Aloe,Tiger Tooth Aloe,,"(2""-3"")"
30,Haworthia Attenuata,Dot Haworthia,,,"(2""-3"")"
31,Mammillaria vetula,thimble cactus,thimble cactus,,"(1.5""-2"")"
32,Aloe Breuifolia,White Aloe,,,"(2""-3"")"
33,Aloe humilis,Grey Aloe,,,"(2""-3"")"
34,Faucaria Tigrina ,Chrocodile Teeth,,,"(2""-3"")"
35,Haworthia Resendeana,Normal Haworthia,,,"(2""-3"")"
36,Sedum Dasyphyllum,Face Sedum,,,"(2""-3"")"
37,Crassula tetragona,Cone Tree,miniature pine tree,,"(2""-3"")"
38,Sedum Lineare(green),Green Sedum,,,"(2""-3"")"
39,Radiator Plant,Radiator,,,"(2""-3"")"
40,Short leaved Aloe/Aloe Brevipolia,Brown Aloe,,,"(2""-3"")"
41,Senecio Cephalophorus,Cabbage succulent,,,"(2""-3"")"
42,chlorophytum laxum,Zebra Grass,Zebra Grass,,"(2""-3"")"
43,Fairy Castle cactus,Fairy Castle,,,"(2""-3"")"
44,Echeveria Runyonii,Curve Echeveria,,https://en.m.wikipedia.org/wiki/Echeveria_runyonii,"(2""-3"")"
45,Kalanchoe ,Kalanchoe ,,,"(2""-3"")"
46,Pereskiopsis,Tree Succulent,,,"(2""-3"")"
47,Dianthus,Dianthus,,,"(2""-3"")"
48,Peperomia caperata,Pepromia Long leaf,,,"(2""-3"")"
49,Hydrangea,Hydrangea,,,"(3""-4"")"
50,Wax Ivy,Wax Ivy,,,"(5""-6"")"
51,Camelia,Camelia,,,"(4""-5"")"
52,Crassula ovata,Jade,Jade plant,,"(2""-3"")"
53,Haworthia fasciata Zebra,Haworthia Zebra,,,"(2""-3"")"
54,Sempervivum arachnoideum,Cob Web,,,"(1.5""-2"")"
55,Crassula capitella ,camp fire,camp fire,,"(2""-3"")"
56,Opuntia white ,Opentia white,Bunny Ear Cactus,,"(2""-3"")"
57,Syngonium podophyllum,arrowhead,arrowhead plant,,"(4""-5"")"
58,Resnova,Indoor Big Leaf,,,"(2""-3"")"
59,Cheiridopsis denticulata,Oval Flower,,,"(2""-3"")"
60,Peperomia caperata,Pepromia Purple,,,"(2""-3"")"
61,Acanthocalycium,Ball Cactus,,,"(2""-3"")"
62,Aloe brevifolia /short-leaved aloe,White Aloe(S-L),,,"(2""-3"")"
63,Echinopsis subdenudata,Ball white flower,,,"(2""-3"")"
64,Echeveria setosa,,,,"(2""-3"")"
65,Crassula Falcata,Boat,,,"(2""-3"")"
66,Haworthia bayeri,,,,"(1.5""-2"")"
67,Haworthiopsis attenuata,Haworthia Fat,,,"(2""-3"")"
68,Haworthiopsis coarctata,Haworthia Dot,,,"(2""-3"")"
69,Haworth's aeonium ,Haworth's aeonium ,,,"(2""-3"")"
70,Echeveria agavoides,Rangoli Echeviria,,,"(2""-3"")"
71,Pachyphytum oviferum,Grey Moonstone,,,"(2""-3"")"
72,string of pearls,string of pearls,,,"(2""-3"")"
73,Dracaena trifasciata,Snake Draft Yellow Border,,,"(2""-3"")"
74,Senecio barbertonicus,,,,"(2""-3"")"
75,Adromischus Cristatus,Panda,,,"(2""-3"")"
76,Haworthiopsis limifolia,Haworthia Rough,,,"(2""-3"")"
77,Anacampseros Baeseckei,Seed Plant,,,"(1.5""-2"")"
78,Aloe vera,,,,"(2""-3"")"
79,Gasteria,Dot Aloe,,,"(2""-3"")"
80,Crassula capitella Thyrsiflora (Jain temple),Jain Temple,,,"(2""-3"")"
81,English ivy,English Verigated ivy,,,"(5""-6"")"
82,Vinca major,Vinca,blue periwinkle,,"(5""-6"")"
83,Hedera Ivy,Hedra Ivy,,,"(5""-6"")"
84,Drimiopsis,Indoor small leaf,,,"(2""-3"")"
85,Sedum lineare(silver),Silver sedum,,,"(2""-3"")"
86,haworthia decipiens,Haworthia green,,,"(2""-3"")"
87,echeveria glauca cristata,White stick,,,"(2""-3"")"
88,Hechtia glauca,Green Aloe,,,"(2""-3"")"
89,Echeveria nuda,Green Echeviria,,,"(2""-3"")"
90,portulakarea,Umbrella,,,"(2""-3"")"
91,Crassula perforata,Chilly,,,"(2""-3"")"
92,fishbone cactus,Fishbone,,,"(2""-3"")"
93,Chlorophytum comosum/spider plant,Chlorophytm,,,"(2""-3"")"
94,,Change Color,,,"(2""-3"")"
95,serissafoetida,Bad smell,snowrose,,"(2""-3"")"
96,Stapelia Lepida,Tiger Flower,star fish flower,https://en.m.wikipedia.org/wiki/Stapelia,"(1.5""-2"")"
97,Euphorbia flanaganii,medusa's head,medusa's head,https://en.m.wikipedia.org/wiki/Euphorbia_flanaganii,"(2""-3"")"
98,Euphorbia ferox,Bomb,,,"(2""-3"")"
99,Aeonium arboreum/green,Aeonium Green,,,"(2""-3"")"
100,Aeonium arboreum/Purple,Aeonium Purple,,,"(2""-3"")"
101,crassula exilis,Tiger sedum,,,"(2""-3"")"
102,Sansevieria zeylanica,Snake Long,,,"(2""-3"")"
103,blue chalksticks,Blue stick,,,"(2""-3"")"
104,Christmas cactus,Christmas Cactus,,,"(2""-3"")"
105,Spyder plant/ iris,Iris,Spyder plant,,"(2""-3"")"
106,Sansevieria Compacta Dwarf,Snake Draft Long,,,"(2""-3"")"
107,Delosperma,Rough Sedum,,,"(2""-3"")"
108,Crassula ovata/ Jade plant (verigated),Jade Verigated,,,"(2""-3"")"
109,Sedum Morganianum,Donkey Tail,Donkey Tail,,"(2""-3"")"
